epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,2023.16,0.66725,0.49656,1.02294,0.88636,0.81113,0.88682,0.7277,0.71529,0.59785,1.04626,0.00119941,0.00119941,0.00119941
87,2046.51,0.68448,0.48817,1.01974,0.81513,0.87719,0.90836,0.75284,0.68957,0.54202,1.03213,0.00119391,0.00119391,0.00119391
88,2072.19,0.66062,0.47507,1.01527,0.93029,0.83389,0.91043,0.75904,0.712,0.51539,1.07208,0.0011884,0.0011884,0.0011884
89,2096.23,0.65754,0.46279,1.01104,0.81286,0.88736,0.90095,0.73091,0.73935,0.58349,1.09549,0.0011829,0.0011829,0.0011829
90,2119.17,0.68056,0.48572,1.00876,0.89525,0.80288,0.88341,0.72708,0.75881,0.57693,1.12218,0.0011774,0.0011774,0.0011774
91,2142.55,0.65819,0.47687,1.00846,0.8214,0.88882,0.90039,0.73655,0.75771,0.54536,1.0912,0.0011719,0.0011719,0.0011719
92,2166.24,0.64696,0.47617,1.00367,0.85208,0.83128,0.90247,0.75253,0.70003,0.57142,1.04187,0.0011664,0.0011664,0.0011664
93,2188.96,0.64662,0.46512,1.00845,0.92584,0.8022,0.89221,0.74154,0.68732,0.53564,1.03436,0.0011609,0.0011609,0.0011609
94,2213.41,0.65041,0.46244,0.99961,0.89166,0.84654,0.8703,0.73464,0.72151,0.61689,1.06145,0.0011554,0.0011554,0.0011554
95,2237.46,0.65112,0.47014,1.01374,0.877,0.84764,0.90371,0.73467,0.71938,0.55485,1.0472,0.0011499,0.0011499,0.0011499
96,2261.26,0.66392,0.47186,1.01034,0.93252,0.83887,0.92239,0.77444,0.68742,0.53857,1.01289,0.0011444,0.0011444,0.0011444
97,2284.6,0.65411,0.46446,1.00735,0.86369,0.8489,0.90889,0.7591,0.71559,0.52981,1.05734,0.00113889,0.00113889,0.00113889
98,2309.24,0.63089,0.44876,0.99549,0.90435,0.87013,0.91046,0.75925,0.72544,0.49168,1.06578,0.00113339,0.00113339,0.00113339
99,2332.46,0.66948,0.45004,1.01003,0.93788,0.81044,0.89641,0.74433,0.73785,0.53514,1.07797,0.00112789,0.00112789,0.00112789
100,2355.44,0.66392,0.4696,1.00429,0.91867,0.81957,0.88814,0.74156,0.74507,0.54219,1.07956,0.00112239,0.00112239,0.00112239
101,2378.55,0.64612,0.46837,0.99609,0.90316,0.80939,0.89579,0.75244,0.71226,0.57031,1.06416,0.00111689,0.00111689,0.00111689
102,2401.01,0.65378,0.44961,1.00431,0.90699,0.84029,0.89225,0.74555,0.75277,0.53647,1.10567,0.00111139,0.00111139,0.00111139
103,2424.36,0.64633,0.46174,1.00626,0.90159,0.86745,0.90413,0.75541,0.72961,0.53919,1.05875,0.00110589,0.00110589,0.00110589
104,2448.95,0.64737,0.4534,0.99383,0.95113,0.81673,0.90712,0.75388,0.70742,0.55701,1.07358,0.00110039,0.00110039,0.00110039
105,2472.28,0.65083,0.45723,0.99087,0.90275,0.81044,0.91361,0.75352,0.72752,0.50732,1.06125,0.00109489,0.00109489,0.00109489
106,2496.48,0.64262,0.45148,0.99873,0.95128,0.84644,0.91453,0.77054,0.7056,0.50403,1.06562,0.00108938,0.00108938,0.00108938
107,2520.97,0.65751,0.43854,0.9977,0.88156,0.8489,0.90659,0.75584,0.71299,0.53694,1.06667,0.00108388,0.00108388,0.00108388
108,2544.34,0.64104,0.43572,1.00454,0.92824,0.83739,0.91298,0.75453,0.69033,0.53057,1.03892,0.00107838,0.00107838,0.00107838
109,2567.46,0.63443,0.4495,1.005,0.94002,0.79953,0.88757,0.75769,0.6828,0.52589,1.02495,0.00107288,0.00107288,0.00107288
110,2591.14,0.63873,0.44826,0.99608,0.88757,0.85852,0.89613,0.74787,0.71506,0.54401,1.04665,0.00106738,0.00106738,0.00106738
111,2615.38,0.61532,0.44058,0.99718,0.89472,0.86813,0.87365,0.72999,0.71267,0.54426,1.04635,0.00106188,0.00106188,0.00106188
112,2638.96,0.63279,0.42741,0.99906,0.9067,0.86835,0.90534,0.77082,0.70322,0.50761,1.04004,0.00105638,0.00105638,0.00105638
113,2662.59,0.63174,0.42966,0.99094,0.89618,0.85783,0.92685,0.7841,0.68108,0.47517,1.00957,0.00105088,0.00105088,0.00105088
114,2685.84,0.63849,0.43923,0.99391,0.87728,0.88214,0.91214,0.76896,0.69603,0.52552,1.0451,0.00104538,0.00104538,0.00104538
115,2709.31,0.64393,0.4393,0.99582,0.92799,0.82967,0.91196,0.76569,0.68128,0.52087,1.01645,0.00103987,0.00103987,0.00103987
116,2731.96,0.60254,0.41203,0.98619,0.93097,0.846,0.91004,0.76966,0.69509,0.52975,1.03435,0.00103437,0.00103437,0.00103437
117,2755.27,0.6057,0.40456,0.98338,0.94969,0.80151,0.91286,0.77149,0.69722,0.47486,1.04005,0.00102887,0.00102887,0.00102887
118,2779.42,0.62523,0.43304,1.00031,0.94315,0.80203,0.91623,0.77463,0.67158,0.49643,1.01241,0.00102337,0.00102337,0.00102337
119,2802.73,0.62754,0.41576,1.00212,0.95049,0.82967,0.91611,0.76346,0.68207,0.52589,1.0191,0.00101787,0.00101787,0.00101787
120,2826.85,0.61004,0.41733,0.99188,0.95634,0.83929,0.92461,0.77568,0.67824,0.49611,1.02081,0.00101237,0.00101237,0.00101237
121,2849.48,0.62582,0.44998,0.9881,0.90135,0.86745,0.91092,0.75466,0.70068,0.51013,1.0443,0.00100687,0.00100687,0.00100687
122,2872.28,0.60657,0.42122,0.99254,0.91526,0.8187,0.91018,0.76617,0.6914,0.50794,1.02755,0.00100137,0.00100137,0.00100137
123,2895.09,0.59388,0.42288,0.99149,0.91526,0.83564,0.91455,0.76113,0.73291,0.51025,1.06363,0.000995866,0.000995866,0.000995866
124,2918.43,0.60459,0.41859,0.97936,0.89711,0.90138,0.91549,0.76011,0.70904,0.52445,1.03476,0.000990365,0.000990365,0.000990365
125,2941.38,0.61314,0.40747,0.97889,0.93975,0.82005,0.91287,0.77125,0.69792,0.50495,1.03637,0.000984864,0.000984864,0.000984864
126,2964.56,0.59561,0.40235,0.98088,0.946,0.86889,0.91611,0.7764,0.66838,0.46487,1.00607,0.000979362,0.000979362,0.000979362
127,2988.14,0.59511,0.41189,0.9824,0.93468,0.85614,0.91938,0.76737,0.69888,0.48275,1.0303,0.000973861,0.000973861,0.000973861
128,3011.14,0.61088,0.41572,0.99002,0.93702,0.80151,0.89053,0.75977,0.69543,0.55765,1.0347,0.00096836,0.00096836,0.00096836
129,3034.21,0.61473,0.4131,0.99225,0.8851,0.88078,0.93873,0.77965,0.68293,0.49929,1.02038,0.000962859,0.000962859,0.000962859
130,3057.54,0.57699,0.38912,0.97448,0.89833,0.87794,0.92784,0.77841,0.70676,0.48299,1.02547,0.000957358,0.000957358,0.000957358
131,3083.09,0.59049,0.41749,0.98547,0.90756,0.83685,0.92049,0.77687,0.66923,0.48332,1.00755,0.000951857,0.000951857,0.000951857
132,3105.8,0.60661,0.41615,0.9967,0.90502,0.8639,0.92881,0.77861,0.69315,0.46476,1.01486,0.000946356,0.000946356,0.000946356
133,3129.87,0.61018,0.40653,0.98365,0.91355,0.85627,0.9232,0.77559,0.68376,0.48322,1.01458,0.000940855,0.000940855,0.000940855
134,3154.01,0.59921,0.40805,0.98961,0.91731,0.82967,0.92008,0.77598,0.68133,0.50793,1.01217,0.000935354,0.000935354,0.000935354
135,3176.91,0.59224,0.40327,0.9851,0.96209,0.82453,0.90234,0.75552,0.72061,0.48827,1.03168,0.000929853,0.000929853,0.000929853
136,3199.6,0.5796,0.40421,0.96847,0.96469,0.80325,0.90332,0.7644,0.70112,0.51086,1.03823,0.000924352,0.000924352,0.000924352
137,3223.57,0.55757,0.37882,0.96817,0.93734,0.87385,0.91801,0.76506,0.68686,0.50716,1.02538,0.00091885,0.00091885,0.00091885
138,3246.51,0.57752,0.38402,0.97684,0.90765,0.85193,0.90556,0.7698,0.69142,0.52021,1.03221,0.000913349,0.000913349,0.000913349
139,3268.83,0.56802,0.38111,0.96839,0.94565,0.78297,0.89515,0.75832,0.70269,0.50566,1.02225,0.000907848,0.000907848,0.000907848
140,3292.24,0.59275,0.39917,0.97991,0.945,0.81113,0.91637,0.77076,0.66623,0.48243,0.99979,0.000902347,0.000902347,0.000902347
141,3315.46,0.58319,0.39334,0.97475,0.91026,0.83887,0.92392,0.77478,0.67541,0.49441,1.02312,0.000896846,0.000896846,0.000896846
142,3338.2,0.57138,0.37854,0.97549,0.87806,0.81777,0.89989,0.76634,0.66229,0.53329,1.02017,0.000891345,0.000891345,0.000891345
143,3362.01,0.5686,0.3934,0.96883,0.92299,0.8155,0.91544,0.77035,0.66109,0.50428,1.00981,0.000885844,0.000885844,0.000885844
144,3384.54,0.57229,0.39202,0.96971,0.88529,0.83929,0.8809,0.7421,0.68873,0.5399,1.04592,0.000880343,0.000880343,0.000880343
145,3407.73,0.57689,0.37928,0.96823,0.90279,0.83321,0.90946,0.76431,0.68801,0.51526,1.0495,0.000874842,0.000874842,0.000874842
146,3430.83,0.57556,0.38439,0.97125,0.9193,0.83929,0.90578,0.76842,0.67838,0.47462,1.04246,0.00086934,0.00086934,0.00086934
147,3454.18,0.57754,0.38261,0.97272,0.87659,0.87145,0.93735,0.79115,0.6768,0.47306,1.00797,0.000863839,0.000863839,0.000863839
148,3477.14,0.58455,0.38332,0.96798,0.89163,0.8669,0.92378,0.77285,0.69119,0.48089,1.0181,0.000858338,0.000858338,0.000858338
149,3500.54,0.57038,0.38289,0.97938,0.92913,0.87383,0.9215,0.77988,0.66959,0.45672,1.0066,0.000852837,0.000852837,0.000852837
150,3524.12,0.54905,0.37218,0.96001,0.8882,0.87235,0.91614,0.77051,0.68243,0.46926,1.0172,0.000847336,0.000847336,0.000847336
151,3548.28,0.56445,0.37949,0.97646,0.88731,0.83036,0.91979,0.76872,0.65924,0.50958,1.01403,0.000841835,0.000841835,0.000841835
152,3571.68,0.55425,0.38411,0.96173,0.93089,0.81548,0.90095,0.76028,0.70673,0.51013,1.04834,0.000836334,0.000836334,0.000836334
153,3594.93,0.56822,0.37123,0.96443,0.92369,0.86285,0.90698,0.7682,0.6799,0.52608,1.01727,0.000830833,0.000830833,0.000830833
154,3618.49,0.56933,0.38578,0.96222,0.89826,0.8172,0.88205,0.74687,0.71347,0.55612,1.04835,0.000825332,0.000825332,0.000825332
155,3641.9,0.54748,0.37657,0.96114,0.9115,0.84305,0.89736,0.76262,0.69131,0.48025,1.04503,0.000819831,0.000819831,0.000819831
156,3664.2,0.54981,0.36872,0.96514,0.90553,0.8386,0.91491,0.77748,0.67662,0.49859,1.02726,0.000814329,0.000814329,0.000814329
157,3688.13,0.5618,0.37569,0.96764,0.95223,0.82967,0.91361,0.76438,0.6948,0.46461,1.05069,0.000808828,0.000808828,0.000808828
158,3712.37,0.54514,0.36547,0.96071,0.92581,0.82005,0.92132,0.77327,0.68588,0.45564,1.02829,0.000803327,0.000803327,0.000803327
159,3736.09,0.56419,0.38197,0.96433,0.90123,0.86745,0.92452,0.77502,0.67161,0.4512,1.01421,0.000797826,0.000797826,0.000797826
160,3758.76,0.5583,0.37584,0.95139,0.91158,0.87392,0.91695,0.77484,0.69131,0.45092,1.0562,0.000792325,0.000792325,0.000792325
161,3782.63,0.56646,0.37969,0.97027,0.93762,0.84401,0.91267,0.77021,0.70906,0.43134,1.06601,0.000786824,0.000786824,0.000786824
162,3805.41,0.57229,0.36667,0.96605,0.90805,0.87775,0.91456,0.76715,0.68235,0.46049,1.04719,0.000781323,0.000781323,0.000781323
163,3829.18,0.55423,0.35741,0.96397,0.88791,0.85783,0.89763,0.75538,0.70739,0.53804,1.0575,0.000775822,0.000775822,0.000775822
164,3853.57,0.54786,0.3691,0.95668,0.89279,0.85783,0.91334,0.77066,0.69799,0.48052,1.03832,0.000770321,0.000770321,0.000770321
165,3878.37,0.55247,0.35691,0.96233,0.90995,0.87229,0.91048,0.76772,0.69944,0.50269,1.05382,0.00076482,0.00076482,0.00076482
166,3902.21,0.54616,0.36193,0.95402,0.87623,0.87382,0.91405,0.77488,0.68604,0.50523,1.04039,0.000759318,0.000759318,0.000759318
